,Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,StabilityLabel
53,0.84,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
54,1.54,2.54,0.9,0.9,1,11.9,0.25,0.506,0.1,6.141030103192575,0.5503065,13.73015,1
55,1.54,2.54,0.9,0.9,1,11.9,0.25,0.506,0.5,6.141030103192575,0.5503065,13.73015,1
56,1.54,2.54,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,1
57,1.36,2.54,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,1
58,1.36,2.54,0.9,0.9,1,11.9,0.5,0.605,0.5,94.63626484879813,6.15682,10.118285,1
59,1.36,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
60,0.84,2.54,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,1
61,0.84,2.54,0.9,0.9,1,11.9,0.5,0.605,0.5,94.63626484879813,6.15682,10.118285,1
62,0.84,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
63,1.54,2.54,0.9,0.9,1,11.9,0.5,0.605,0.1,94.63626484879813,6.15682,10.118285,1
64,1.54,2.54,0.9,0.9,1,11.9,0.5,0.605,0.5,94.63626484879813,6.15682,10.118285,1
65,1.54,2.54,0.9,0.9,1,11.9,0.5,0.605,1.0,94.63626484879813,6.15682,10.118285,1
66,1.36,2.54,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1
67,1.36,2.54,0.9,0.9,1,11.9,1.0,0.658,0.5,1158.9275801699469,163.898,23.70685,1
68,1.36,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
69,0.84,2.54,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,0
70,0.84,2.54,0.9,0.9,1,11.9,1.0,0.658,0.5,1158.9275801699469,163.898,23.70685,1
71,0.84,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
72,1.54,2.54,0.9,0.9,1,11.9,1.0,0.658,0.1,1158.9275801699469,163.898,23.70685,1
73,1.54,2.54,0.9,0.9,1,11.9,1.0,0.658,0.5,1158.9275801699469,163.898,23.70685,1
74,1.54,2.54,0.9,0.9,1,11.9,1.0,0.658,1.0,1158.9275801699469,163.898,23.70685,1
75,1.36,2.54,0.9,0.9,1,11.9,2.0,0.689,0.1,2384.3819575066204,362.9255,23.590899999999998,0
76,1.36,2.54,0.9,0.9,1,11.9,2.0,0.689,0.5,2384.3819575066204,362.9255,23.590899999999998,1
