,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (mm),Surface Tension (mN/m),Formation Outcome
155,2.0,1,40,100,140,72.01,1
156,2.0,1,40,100,140,72.01,1
157,2.0,1,40,100,140,72.01,1
158,2.0,1,40,100,140,72.01,1
159,2.0,1,40,100,140,72.01,1
160,2.0,1,40,100,140,72.01,1
161,2.0,1,40,100,140,72.01,1
162,2.0,1,40,100,140,72.01,1
163,2.0,1,40,100,140,72.01,1
164,2.0,1,40,100,140,72.01,1
165,2.0,1,40,100,140,72.01,1
166,2.0,1,40,100,140,72.01,1
167,2.0,1,40,100,140,72.01,1
168,2.0,1,40,100,140,72.01,1
169,2.0,1,40,100,140,72.01,1
170,2.0,1,40,100,140,72.01,1
171,2.0,1,40,100,140,72.01,1
172,2.0,1,40,100,140,72.01,1
173,2.0,1,40,100,140,72.01,1
174,2.0,1,40,100,140,72.01,1
175,2.0,1,40,100,140,72.01,1
176,2.0,1,40,100,140,72.01,1
177,2.0,1,40,100,140,72.01,1
178,2.0,1,40,100,140,72.01,1
179,2.0,1,40,100,140,72.01,1
180,2.0,1,40,100,140,72.01,1
181,2.0,1,40,100,140,72.01,1
182,2.0,1,40,100,140,72.01,1
183,2.0,1,40,100,140,72.01,1
184,2.0,1,40,100,140,72.01,1
185,2.0,1,40,100,140,72.01,1
186,2.0,1,40,100,140,72.01,1
187,2.0,1,40,100,140,72.01,1
188,2.0,1,40,100,140,72.01,1
189,2.0,1,40,100,140,72.01,1
190,2.0,1,40,100,140,72.01,1
191,2.0,1,40,100,140,72.01,1
192,2.0,1,40,100,140,72.01,1
193,2.0,1,40,100,140,72.01,1
194,2.0,1,40,100,140,72.01,1
195,2.0,1,40,100,140,72.01,1
196,2.0,1,40,100,140,72.01,1
197,2.0,1,40,100,140,72.01,1
198,2.0,1,40,100,140,72.01,1
199,2.0,1,40,100,140,72.01,1
200,2.0,1,40,100,140,72.01,1
201,2.0,1,40,100,140,72.01,1
202,2.0,1,40,100,140,72.01,1
203,2.0,1,40,100,140,72.01,1
204,2.0,1,40,100,140,72.01,1
205,2.0,1,40,100,140,72.01,1
206,2.0,1,40,100,140,72.01,1
207,2.0,1,40,100,140,72.01,1
208,2.0,1,40,100,140,72.01,1
209,2.0,1,40,100,140,72.01,1
210,2.0,1,40,100,140,72.01,1
211,2.0,1,40,100,140,72.01,1
212,2.0,1,40,100,140,72.01,1
213,2.0,1,40,100,140,72.01,1
214,2.0,1,40,100,140,72.01,1
215,2.0,1,40,100,140,72.01,1
216,2.0,1,40,100,140,72.01,1
217,2.0,1,40,100,140,72.01,1
218,2.0,1,40,100,140,72.01,1
219,2.0,1,40,100,140,72.01,1
220,2.0,1,40,100,140,72.01,1
221,2.0,1,40,100,140,72.01,1
222,2.0,1,40,100,140,72.01,1
223,2.0,1,40,100,140,72.01,1
224,2.0,1,40,100,140,72.01,1
225,2.0,1,40,100,140,72.01,1
226,2.0,1,40,100,140,72.01,1
227,2.0,1,40,100,140,72.01,1
228,2.0,1,40,100,140,72.01,1
229,2.0,1,40,100,140,72.01,1
230,2.0,1,40,100,140,72.01,1
231,2.0,1,40,100,140,72.01,1
232,2.0,1,40,100,140,72.01,1
233,2.0,1,40,100,140,72.01,1
234,2.0,1,40,100,140,72.01,1
235,2.0,1,40,100,140,72.01,1
236,2.0,1,40,100,140,72.01,1
237,2.0,1,40,100,140,72.01,1
238,2.0,1,40,100,140,72.01,1
239,2.0,1,40,100,140,72.01,1
240,2.0,1,40,100,140,72.01,1
241,2.0,1,40,100,140,72.01,1
242,2.0,1,40,100,140,72.01,1
243,2.0,1,40,100,140,72.01,1
244,2.0,1,40,100,140,72.01,1
245,2.0,1,40,100,140,72.01,1
246,2.0,1,40,100,140,72.01,1
247,2.0,1,40,100,140,72.01,1
248,2.0,1,40,100,140,72.01,1
249,2.0,1,40,100,140,72.01,1
250,2.0,1,40,100,140,72.01,1
251,2.0,1,40,100,140,72.01,1
252,2.0,1,40,100,140,72.01,1
253,2.0,1,40,100,140,72.01,1
254,2.0,1,40,100,140,72.01,1
255,2.0,1,40,100,140,72.01,1
256,2.0,1,40,100,140,72.01,1
257,2.0,1,40,100,140,72.01,1
258,2.0,1,40,100,140,72.01,1
259,2.0,1,40,100,140,72.01,1
260,2.0,1,40,100,140,72.01,1
261,2.0,1,40,100,140,72.01,1
262,2.0,1,40,100,140,72.01,1
263,2.0,1,40,100,140,72.01,1
