,Precursor Conc. (wt. %),Rel. Precursor Viscosity,Detach. Pressure (PSI),Crosslinker Conc. (mM),Dist. from Bath (cm),Surface Tension (mN/m),Shape Outcome
167,2.0,1,40,100,140,72.01,3
168,2.0,1,40,100,140,72.01,3
169,2.0,1,40,100,140,72.01,3
170,2.0,1,40,100,140,72.01,3
171,2.0,1,40,100,140,72.01,3
172,2.0,1,40,100,140,72.01,3
173,2.0,1,40,100,140,72.01,3
174,2.0,1,40,100,140,72.01,3
175,2.0,1,40,100,140,72.01,3
176,2.0,1,40,100,140,72.01,3
177,2.0,1,40,100,140,72.01,3
178,2.0,1,40,100,140,72.01,3
179,2.0,1,40,100,140,72.01,3
180,2.0,1,40,100,140,72.01,3
181,2.0,1,40,100,140,72.01,3
182,2.0,1,40,100,140,72.01,3
183,2.0,1,40,100,140,72.01,3
184,2.0,1,40,100,140,72.01,3
185,2.0,1,40,100,140,72.01,3
186,2.0,1,40,100,140,72.01,3
187,2.0,1,40,100,140,72.01,3
188,2.0,1,40,100,140,72.01,3
189,2.0,1,40,100,140,72.01,3
190,2.0,1,40,100,140,72.01,3
191,2.0,1,40,100,140,72.01,3
192,2.0,1,40,100,140,72.01,3
193,2.0,1,40,100,140,72.01,3
194,2.0,1,40,100,140,72.01,3
195,2.0,1,40,100,140,72.01,3
196,2.0,1,40,100,140,72.01,3
197,2.0,1,40,100,140,72.01,3
198,2.0,1,40,100,140,72.01,3
199,2.0,1,40,100,140,72.01,3
200,2.0,1,40,100,140,72.01,3
201,2.0,1,40,100,140,72.01,3
202,2.0,1,40,100,140,72.01,3
203,2.0,1,40,100,140,72.01,3
204,2.0,1,40,100,140,72.01,3
205,2.0,1,40,100,140,72.01,3
206,2.0,1,40,100,140,72.01,3
207,2.0,1,40,100,140,72.01,3
208,2.0,1,40,100,140,72.01,3
209,2.0,1,40,100,140,72.01,3
210,2.0,1,40,100,140,72.01,3
211,2.0,1,40,100,140,72.01,3
212,2.0,1,40,100,140,72.01,3
213,2.0,1,40,100,140,72.01,3
214,2.0,1,40,100,140,72.01,3
215,2.0,1,40,100,140,72.01,3
216,2.0,1,40,100,140,72.01,3
217,2.0,1,40,100,140,72.01,3
218,2.0,1,40,100,140,72.01,3
219,2.0,1,40,100,140,72.01,3
220,2.0,1,40,100,140,72.01,3
221,2.0,1,40,100,140,72.01,3
222,2.0,1,40,100,140,72.01,3
223,2.0,1,40,100,140,72.01,3
224,2.0,1,40,100,140,72.01,3
225,2.0,1,40,100,140,72.01,3
226,2.0,1,40,100,140,72.01,3
227,2.0,1,40,100,140,72.01,3
228,2.0,1,40,100,140,72.01,3
229,2.0,1,40,100,140,72.01,3
230,2.0,1,40,100,140,72.01,3
231,2.0,1,40,100,140,72.01,3
232,2.0,1,40,100,140,72.01,3
233,2.0,1,40,100,140,72.01,3
234,2.0,1,40,100,140,72.01,3
235,2.0,1,40,100,140,72.01,3
236,2.0,1,40,100,140,72.01,3
237,2.0,1,40,100,140,72.01,3
238,2.0,1,40,100,140,72.01,3
239,2.0,1,40,100,140,72.01,3
240,2.0,1,40,100,140,72.01,3
241,2.0,1,40,100,140,72.01,3
242,2.0,1,40,100,140,72.01,3
243,2.0,1,40,100,140,72.01,3
244,2.0,1,40,100,140,72.01,3
245,2.0,1,40,100,140,72.01,3
246,2.0,1,40,100,140,72.01,3
247,2.0,1,40,100,140,72.01,3
248,2.0,1,40,100,140,72.01,3
249,2.0,1,40,100,140,72.01,3
250,2.0,1,40,100,140,72.01,3
251,2.0,1,40,100,140,72.01,3
252,2.0,1,40,100,140,72.01,3
253,2.0,1,40,100,140,72.01,3
254,2.0,1,40,100,140,72.01,3
255,2.0,1,40,100,140,72.01,3
256,2.0,1,40,100,140,72.01,3
257,2.0,1,40,100,140,72.01,3
258,2.0,1,40,100,140,72.01,3
259,2.0,1,40,100,140,72.01,3
260,2.0,1,40,100,140,72.01,3
261,2.0,1,40,100,140,72.01,3
262,2.0,1,40,100,140,72.01,3
263,2.0,1,40,100,140,72.01,3
264,2.0,1,40,100,140,72.01,3
265,2.0,1,40,100,140,72.01,3
266,2.0,1,40,100,140,72.01,3
267,2.0,1,40,100,140,72.01,3
268,2.0,1,40,100,140,72.01,3
269,2.0,1,40,100,140,72.01,3
270,2.0,1,40,100,140,72.01,3
271,2.0,1,40,100,140,72.01,3
272,2.0,1,40,100,140,72.01,3
273,2.0,1,40,100,140,72.01,3
274,2.0,1,40,100,140,72.01,3
275,2.0,1,40,100,140,72.01,3
276,2.0,1,40,100,140,72.01,3
277,2.0,1,40,100,140,72.01,3
278,2.0,1,40,100,140,72.01,3
279,2.0,1,40,100,140,72.01,3
280,2.0,1,40,100,140,72.01,3
281,2.0,1,40,100,140,72.01,3
282,2.0,1,40,100,140,72.01,3
283,2.0,1,40,100,140,72.01,3
284,2.0,1,40,100,140,72.01,3
285,2.0,1,40,100,140,72.01,3
286,2.0,1,40,100,140,72.01,3
287,2.0,1,40,100,140,72.01,3
288,2.0,1,40,100,140,72.01,3
289,2.0,1,40,100,140,72.01,3
290,2.0,1,40,100,140,72.01,3
291,2.0,1,40,100,140,72.01,3
292,2.0,1,40,100,140,72.01,3
293,2.0,1,40,100,140,72.01,3
294,2.0,1,40,100,140,72.01,3
295,2.0,1,40,100,140,72.01,3
296,2.0,1,40,100,140,72.01,3
297,2.0,1,40,100,140,72.01,3
298,2.0,1,40,100,140,72.01,3
299,2.0,1,40,100,140,72.01,3
300,2.0,1,40,100,140,72.01,3
301,2.0,1,40,100,140,72.01,3
302,2.0,1,40,100,140,72.01,3
303,2.0,1,40,100,140,72.01,3
304,2.0,1,40,100,140,72.01,3
305,2.0,1,40,100,140,72.01,3
306,2.0,1,40,100,140,72.01,3
307,2.0,1,40,100,140,72.01,3
308,2.0,1,40,100,140,72.01,3
309,2.0,1,40,100,140,72.01,3
310,2.0,1,40,100,140,72.01,3
311,2.0,1,40,100,140,72.01,3
312,2.0,1,40,100,140,72.01,3
313,2.0,1,40,100,140,72.01,3
314,2.0,1,40,100,140,72.01,3
315,2.0,1,40,100,140,72.01,3
316,2.0,1,40,100,140,72.01,3
317,2.0,1,40,100,140,72.01,3
318,2.0,1,40,100,140,72.01,3
319,2.0,1,40,100,140,72.01,3
320,2.0,1,40,100,140,72.01,3
321,2.0,1,40,100,140,72.01,3
322,2.0,1,40,100,140,72.01,3
323,2.0,1,40,100,140,72.01,3
324,2.0,1,40,100,140,72.01,3
325,2.0,1,40,100,140,72.01,2
326,2.0,1,40,100,140,72.01,2
327,2.0,1,40,100,140,72.01,2
328,2.0,1,40,100,140,72.01,2
329,2.0,1,40,100,140,72.01,2
330,2.0,1,40,100,140,72.01,2
331,2.0,1,40,100,140,72.01,2
332,2.0,1,40,100,140,72.01,2
333,2.0,1,40,100,140,72.01,2
334,2.0,1,6,10,140,72.01,3
335,2.0,1,6,10,140,72.01,3
336,2.0,1,6,10,140,72.01,3
337,2.0,1,6,10,140,72.01,3
338,2.0,1,6,10,140,72.01,3
339,2.0,1,6,10,140,72.01,3
340,2.0,1,6,10,140,72.01,3
341,2.0,1,6,10,140,72.01,3
342,2.0,1,6,10,140,72.01,3
343,2.0,1,6,10,140,72.01,3
344,2.0,1,6,10,140,72.01,3
345,2.0,1,6,10,140,72.01,3
346,2.0,1,6,10,140,72.01,3
347,2.0,1,6,10,140,72.01,3
348,2.0,1,6,10,140,72.01,3
