,Displacement (mm),Ext. Diam. (mm),Ext. Length (cm),Est. Vol. Fraction,Fluid Ca2+ (mM),Resuspension_encoded,Syringe Diam. (mm),Microgel Conc. (%),Microgel Size (mm),Speed (mm/sec),Complex_0,YS_breakdown_33,YStrain_breakdown_33,Viscosity_0.1/s,Force (N)
37,0.8429,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,1.5897
38,1.263,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.3188
39,1.6826,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.9158
40,2.943,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.5515000000000003
41,4.203,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.4966
42,5.4627,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.6856
43,6.7229,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.7087
44,7.9831,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.8508
45,9.2429,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.9749
46,10.5026,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.0371
47,11.763,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.0902
48,13.023,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.1174
49,14.2826,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,4.1051
50,15.5428,1.65,0.0,0.9,0.9,1,11.9,0.25,0.506,1.0,6.141030103192575,0.5503065,13.73015,13.21805,3.9971
