,Microgel Conc. (wt.%),Fluid Ca2+ (mM),Fluid Na+ (mM),Settled Solid Vol. (mL),Settled Total Vol. (mL),Jam Pressure (PSI),Membrane Pore Size (um),Jam Duration (min),Est. Vol. Fraction
91,0.5,0.9,153,29.5,36.5,0.5,11,30,0.643636364
92,0.5,0.9,153,29.5,36.5,0.5,11,60,0.7375
93,0.5,0.9,153,29.5,36.5,0.5,11,90,0.804545455
94,0.5,0.9,153,29.5,36.5,0.5,11,120,0.842857143
95,0.5,0.9,153,30.5,37.5,0.5,11,0,0.488
96,0.5,0.9,153,30.5,37.5,0.5,11,30,0.642105263
97,0.5,0.9,153,30.5,37.5,0.5,11,60,0.732
98,0.5,0.9,153,30.5,37.5,1.0,11,0,0.488
99,0.5,0.9,153,30.5,37.5,1.0,11,30,0.677777778
100,0.5,0.9,153,30.5,37.5,1.0,11,60,0.778723404
101,0.5,0.9,153,30.5,37.5,1.5,11,0,0.488
102,0.5,0.9,153,30.5,37.5,1.5,11,30,0.690566038
103,0.5,0.9,153,30.5,37.5,1.5,11,60,0.795652174
104,0.5,0.9,153,30.5,37.5,2.0,11,0,0.488
105,0.5,0.9,153,30.5,37.5,2.0,11,30,0.746938776
106,0.5,0.9,153,30.5,37.5,2.0,11,60,0.851162791
107,0.5,0.9,153,29.0,40.0,0.5,11,0,0.4575
108,0.5,0.9,153,29.0,40.0,0.5,11,30,0.587680578
109,0.5,0.9,153,29.0,40.0,0.5,11,60,0.645699379
110,0.5,0.9,153,29.0,40.0,0.5,11,120,0.743841531
111,0.5,0.9,153,29.0,40.0,0.5,11,180,0.794197397
112,0.5,0.9,153,29.0,40.0,0.5,11,240,0.825186646
113,0.5,0.9,153,29.0,40.0,0.5,11,300,0.849970981
114,0.5,0.9,153,29.0,40.0,0.5,11,360,0.86725227
115,0.5,0.9,153,29.0,40.0,0.5,11,420,0.879491542
116,0.5,0.9,153,29.0,40.0,0.5,11,480,0.891538149
117,0.5,0.9,153,29.0,40.0,0.5,11,540,0.897961269
118,0.5,0.9,153,29.0,40.0,0.5,11,600,0.908498759
119,0.5,0.9,153,29.0,40.0,0.5,11,660,0.91664928
120,0.5,0.9,153,29.0,40.0,0.5,11,720,0.921069182
121,2.0,2.0,0,16.75,33.25,0.0,11,0,0.30226464
122,2.0,2.0,0,16.75,33.25,0.0,11,1,0.570364959
123,2.0,2.0,0,16.75,33.25,0.5,11,5,0.834573484
124,2.0,2.0,0,16.75,33.25,0.5,11,10,0.903189927
125,2.0,2.0,0,16.75,33.25,0.5,11,15,0.927621659
126,2.0,2.0,0,16.75,33.25,0.5,11,20,0.937300891
127,2.0,2.0,0,16.75,33.25,0.5,11,25,0.948600533
128,2.0,2.0,0,16.75,33.25,0.5,11,30,0.948334657
