,Num_days_in_solvent,Current_solvent,Curr_solv_Ca_conc,Curr_solv_Na_conc,ALG_conc,ALG_MW,Gelation_CaCl2_conc,Air_pressure,Nozzle_diameter,Nozzle_angle,Dist_nozzle_bath,Dist_pressure_nozzle,Angle_pressure_nozzle,EtOH_conc_pct,Extrusion_flow_rate,Tip_coating,Unique ID,Diameter_um,Un_id_updated,Un_id_prev
44,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,2,632.1803085,2,1
45,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,2,683.9238042,2,1
46,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,2,647.1741286,2,1
47,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,2,640.996567,2,1
48,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,2,662.757785,2,1
49,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,2,641.9752573,2,1
50,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,805.7116261,3,1
51,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,781.7495316,3,1
52,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,792.53078,3,1
53,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,765.0217717,3,1
54,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,743.0641895,3,1
55,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,682.3717742,3,1
56,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,827.8078667,3,1
57,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,783.6978076,3,1
58,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,783.894151,3,1
59,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,773.3639226,3,1
60,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,786.2620274,3,1
61,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,785.0341994,3,1
62,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,778.9633179,3,1
63,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,778.582214,3,1
64,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,833.4330246,3,1
65,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,817.0631406,3,1
66,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,783.6197184,3,1
67,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,766.2828591,3,1
68,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,768.6025844,3,1
69,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,766.3237359,3,1
70,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,784.7443344,3,1
71,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,797.0558705,3,1
72,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,824.0979638,3,1
73,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,780.9335228,3,1
74,0,CACL2,10,0,2,MEDIUM,10,6,0.15,45,140,30,0,0,200,NONE,3,779.9049743,3,1
75,0,CACL2,10,0,2,MEDIUM,10,40,0.15,45,140,30,0,0,200,NONE,4,232.3130916,4,2
